t,alt,V,alpha,sink,CL,CD,bank,pitch
0.0,149.99124699148837,28.0,5.4210108624275216e-20,0.9765906324177542,0.04791789715414017,0.024377237725291604,2.001219246791978,-1.9997232720031877
0.008333333333333333,149.98190745446195,27.99895523694182,0.0026193821173629674,1.0503610213959285,0.06861803380640626,0.02466458888214751,2.0012227379270855,-2.00266328678126
0.016666666666666666,149.97199881575114,27.99807047342322,0.005082965323407788,1.1207444431715725,0.08141059350815992,0.024678126467650274,2.001228499560825,-2.007690066011417
0.025,149.96153731059096,27.997384165363393,0.007435417158187404,1.1890366452957724,0.09333038576246981,0.024687262764379204,2.001236304264009,-2.014749260834486
0.03333333333333333,149.95053837717577,27.996891350792325,0.009682745729433574,1.255380619222397,0.10466576691674102,0.024701857463733972,2.0012459367035227,-2.023782099029607
0.041666666666666664,149.93901670453133,27.9965857290821,0.011829349863725186,1.319872009820271,0.11545126388659913,0.024721391363091084,2.001257198789669,-2.034730588663452
0.05,149.92698626527365,27.99646133078322,0.013879413393588714,1.3826007173345778,0.12571041298767074,0.024745027740868997,2.001269908724422,-2.0475377013909553
0.058333333333333334,149.91446034666234,27.99651255930101,0.015836966400559985,1.4436527109214679,0.13546557137521018,0.02477200870293491,2.0012838998320834,-2.0621473562320545
0.06666666666666667,149.90145158051956,27.99673416880369,0.017705892514609644,1.5031102333581006,0.14473832750898233,0.02480166272680864,2.0012990194122424,-2.0785043979461166
0.075,149.88797197206992,27.997121241172415,0.019489933877315735,1.5610519371331624,0.15354953379753966,0.02483339729857634,2.0013151276268517,-2.096554577517213
0.08333333333333333,149.87403292773442,27.99766916439455,0.02119269585213257,1.6175530139568965,0.16191932439710596,0.024866691573272134,2.0013320964236763,-2.1162445347843395
0.09166666666666666,149.8596452819105,27.99837361239338,0.022817651572033415,1.6726853202595862,0.1698671325987155,0.024901089607818495,2.0013498084977277,-2.1375217829756035
0.1,149.84481932276918,27.99923052619899,0.024368146334641617,1.7265174988685792,0.1774117083034946,0.024936194146150878,2.00136815629201,-2.160334694916605
0.10833333333333334,149.82956481709948,28.000236096368113,0.025847401851363878,1.7791150969586949,0.1845711355431234,0.024971660916640593,2.0013870410385852,-2.184632490704061
